P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-313.01,Kepler-137 c,Hot,rocky-iron,13.84,2.15,2.99,626.2,18.74,0.13,KOI-313,Lyr,0.91,0.81,0,2015,0.13131313
KOI-313.02,Kepler-137 b,Hot,rocky-iron,5.04,1.66,1.83,797.2,8.44,0.08,KOI-313,Lyr,0.91,0.81,0,2015,0.08080808
KOI-314.01,Kepler-138 c,Hot,rocky-iron,2.28,1.33,1.29,435.5,13.78,0.09,KOI-314,Lyr,0.52,0.50,0,2015,0.09090909
KOI-314.02,Kepler-138 d,Hot,rocky-iron,3.66,1.52,1.58,374.8,23.09,0.13,KOI-314,Lyr,0.52,0.50,0,2015,0.13131313
KOI-314.03,Kepler-138 b,Hot,rocky-iron,0.15,0.58,0.45,463.2,10.31,0.07,KOI-314,Lyr,0.52,0.50,0,2015,0.07070707
KOI-321.01,Kepler-406 b,Hot,rocky-iron,2.22,1.32,1.28,1343.2,2.43,0.04,KOI-321,Cyg,1.06,0.97,0,2015,0.04040404
KOI-321.02,Kepler-406 c,Hot,rocky-iron,0.35,0.76,0.61,1081.4,4.62,0.06,KOI-321,Cyg,1.06,0.97,0,2015,0.06060606
KOI-327.01,Kepler-140 b,Hot,rocky-iron,2.40,1.35,1.32,1359.9,3.25,0.04,KOI-327,Lyr,1.15,1.06,0,2015,0.04040404
KOI-327.02,Kepler-140 c,Hot,rocky-iron,3.83,1.54,1.62,474.9,91.35,0.42,KOI-327,Lyr,1.15,1.06,0,2015,0.42424242
KOI-341.02,Kepler-414 b,Hot,rocky-iron,14.95,2.19,3.12,1076.9,4.70,0.05,KOI-341,Cyg,0.89,0.95,0,2015,0.05050505
KOI-343.02,Kepler-142 b,Hot,rocky-iron,9.90,1.98,2.52,1654.0,2.02,0.03,KOI-343,Cyg,0.93,1.24,0,2015,0.03030303
KOI-343.03,Kepler-142 d,Hot,rocky-iron,2.94,1.43,1.44,624.9,41.81,0.23,KOI-343,Cyg,0.93,1.24,0,2015,0.23232323
KOI-352.01,Kepler-143 c,Hot,rocky-iron,20.67,2.36,3.71,692.3,27.08,0.18,KOI-352,Cyg,0.99,1.04,0,2015,0.18181818
KOI-352.02,Kepler-143 b,Hot,rocky-iron,7.13,1.82,2.15,809.8,16.01,0.12,KOI-352,Cyg,0.99,1.04,0,2015,0.12121212
KOI-369.01,Kepler-144 b,Hot,rocky-iron,1.19,1.10,0.99,1139.6,5.89,0.07,KOI-369,Lyr,1.06,1.01,0,2015,0.07070707
KOI-369.02,Kepler-144 c,Hot,rocky-iron,1.19,1.10,0.99,957.3,10.10,0.09,KOI-369,Lyr,1.06,1.01,0,2015,0.09090909
KOI-370.02,Kepler-145 b,Hot,rocky-iron,15.24,2.20,3.15,932.6,22.95,0.17,KOI-370,Cyg,1.32,1.85,0,2015,0.17171717
KOI-392.02,Kepler-147 b,Hot,rocky-iron,2.05,1.29,1.23,935.8,12.61,0.11,KOI-392,Lyr,1.10,1.26,0,2015,0.11111111
KOI-398.03,Kepler-148 b,Hot,rocky-iron,7.91,1.87,2.26,1333.7,1.73,0.03,KOI-398,Cyg,0.89,0.84,0,2015,0.03030303
KOI-401.03,Kepler-149 c,Hot,rocky-iron,5.04,1.66,1.83,470.0,55.33,0.27,KOI-401,Lyr,0.85,0.83,0,2015,0.27272727
KOI-408.04,Kepler-150 b,Hot,rocky-iron,2.34,1.34,1.30,1226.5,3.43,0.04,KOI-408,Lyr,0.96,0.93,0,2015,0.04040404
KOI-413.02,Kepler-151 c,Hot,rocky-iron,12.31,2.09,2.82,592.8,24.67,0.16,KOI-413,Cyg,0.87,0.82,0,2015,0.16161616
KOI-431.02,Kepler-153 c,Hot,rocky-iron,26.93,2.50,4.31,508.7,46.90,0.23,KOI-431,Dra,0.77,0.86,0,2015,0.23232323
KOI-435.03,Kepler-154 b,Hot,rocky-iron,9.70,1.97,2.50,584.5,33.04,0.20,KOI-435,Cyg,0.92,0.83,0,2015,0.20202020
KOI-438.01,Kepler-155 b,Hot,rocky-iron,9.32,1.95,2.45,605.9,5.93,0.05,KOI-438,Cyg,0.56,0.54,0,2015,0.05050505
KOI-438.02,Kepler-155 c,Warm,rocky-iron,6.27,1.76,2.03,313.6,52.66,0.23,KOI-438,Cyg,0.56,0.54,1,2015,0.23232323
KOI-442.01,Kepler-157 c,Hot,rocky-iron,19.53,2.33,3.60,810.7,13.54,0.11,KOI-442,Lyr,1.02,0.93,0,2015,0.11111111
KOI-442.02,Kepler-157 b,Hot,rocky-iron,1.94,1.27,1.21,1548.1,1.73,0.03,KOI-442,Lyr,1.02,0.93,0,2015,0.03030303
KOI-446.02,Kepler-158 c,Hot,rocky-iron,8.41,1.90,2.33,461.8,28.55,0.16,KOI-446,Lyr,0.66,0.67,0,2015,0.16161616
KOI-448.01,Kepler-159 b,Hot,rocky-iron,7.91,1.87,2.26,490.6,10.14,0.07,KOI-448,Cyg,0.52,0.50,0,2015,0.07070707
KOI-456.02,Kepler-160 b,Hot,rocky-iron,6.55,1.78,2.07,1120.2,4.31,0.05,KOI-456,Lyr,0.89,0.87,0,2015,0.05050505
KOI-457.01,Kepler-161 b,Hot,rocky-iron,11.84,2.07,2.76,883.6,4.92,0.05,KOI-457,Lyr,0.82,0.74,0,2015,0.05050505
KOI-457.02,Kepler-161 c,Hot,rocky-iron,9.51,1.96,2.47,787.3,7.06,0.07,KOI-457,Lyr,0.82,0.74,0,2015,0.07070707
KOI-459.02,Kepler-162 b,Hot,rocky-iron,2.00,1.28,1.22,997.1,6.92,0.07,KOI-459,Cyg,0.88,0.95,0,2015,0.07070707
KOI-471.01,Kepler-163 c,Hot,rocky-iron,16.14,2.23,3.25,670.0,21.35,0.15,KOI-471,Cyg,1.00,0.90,0,2015,0.15151515
